Judul,Harga,Penulis,Diskon
Light Novel Detektif Conan: Strategy Above The Depths,52500,Aoyama Gosho,25
Light Novel One Piece: Loguetown Arc,56250,Eiichiro Oda,25
Light Novel Detektif Conan: Countdown to Heaven,52500,Aoyama Gosho,25
Light Novel: The Promised Neverland Surat dari Norman,56250,"Kaiu Shirai, Posuka Demizu",25
Light Novel One Piece: The Adventure of Deadend The Movie,52500,Eiichiro Oda,25
Light Novel Detektif Conan Jolly Roger in The Deep Azure,52500,Aoyama Gosho,25
Light Novel Detektif Conan: Sunflowers Of Inferno,60000,Aoyama Gosho,25
Light Novel: Stand By Me Doraemon 02,75000,Fujiko F. Fujio,0
Light Novel Detektif Conan: Lost Ship in the Sky,52500,Aoyama Gosho,25
Light Novel Detektif Conan: Full Score of Fear,52500,Aoyama Gosho,25
Light Novel Detektif Conan: Masumi Sera Selection - Detective Returning from Abroad,52500,Aoyama Gosho,25
Light Novel: Alya Sometimes Hides Her Feeling in Russian 1,88200,Sunsunsun,10
Light Novel: Alya Sometimes Hides Her Feeling in Russian 2,88200,Sunsunsun,10
Light Novel My Happy Marriage 1,88200,Akumi Agitogi,10
Light Novel The Eminence in Shadow 1,103500,Daisuke Aizawa,10
"Light Novel So I'm a Spider, So What? 1",103500,Okina Baba,10
Light Novel: Overlord 1 - The Undead King,121500,Kugane Maruyama,10
Light Novel Classroom of The Elite 01,88200,Syougo Kinugasa,10
Light Novel Mushoku Tensei – Jobless Reincarnation 01,88200,Rifujin Na Magonote,10
Light Novel: The Rising of the Shield Hero 01,103500,Aneko Yusagi,10
Light Novel: Alya Sometimes Hides Her Feeling in Russian 3,97200,Sunsunsun,10
Light Novel My Happy Marriage 2,88200,Akumi Agitogi,10
Light Novel The Eminence in Shadow 2,103500,Daisuke Aizawa,10
Light Novel Goblin Slayer 1,108000,Kumo Kagyu,10
Light Novel: Aku Dimanjakan Tetanggaku yang Seperti Malaikat 1,103500,Saekisan,10
Light Novel: Apa Salahnya Mencari Cinta di Dungeon?,112500,Saekisan,10
A Novel Love Story,178200,Ashley Poston,10
Light Novel Mushoku Tensei – Jobless Reincarnation 02,103500,Rifujin Na Magonote,10
Light Novel: Lycoris Recoil ~Ordinary Days~,97200,"Asaura, Spider Lily",10
Light Novel Classroom of The Elite 02,88200,Syougo Kinugasa,10
Light Novel: Overlord 2 - The Dark Warrior,121500,Kugane Maruyama,10
Light Novel: Alya Sometimes Hides Her Feeling in Russian 4,97200,Sunsunsun,10
Light Novel My Happy Marriage 3,88200,Akumi Agitogi,10
